first name,Email ID,Quantity,Events,Attendee Status,College Unknownme,How did you come to know about this event?,how do you know about this event ?,"Specify in ""Others"" (how did you come to know about this event)",Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family Income,dummy family income,family income in lakh,Expected salary (Lakh),Leadership- skills
aniket,aniket@xyz.com,1,Art of Resume Building,Attending,D Y PATIL INSTITUTE OF MCA AND MAUnknownGEMENT AKURDI PUNE,Email,Email,,Students,2024,Patna,6.7,7,7 Lakh+,7,7,6,yes
dhanshree,dhanshree@xyz.com,1,Art of Resume Building,Attending,AP SHAH INSTITUTE OF TECHNOLOGY ,Others,Others,College,Students,2024,Amravati,8.2,3,0-2 Lakh,0-2 ,2,7,no
dhiraj,dhiraj@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Email,Email,,Students,2023,Kunrool,6.5,4,5-7 Lakh,05-Jul,7,7,no
pooja,pooja@xyz.com,1,Art of Resume Building,Attending,Pillai College of Engineering New Panvel,Email,Email,,Students,2025,Tirupati,8.7,7,2-5 Lakh,02-May,5,8,no
aayush,aayush@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Instagram | LinkedIn | Cloud Counselage Website,Instagram ,,Students,2024,Vijaywada,9.1,3,0-2 Lakh,0-2 ,2,10,yes
mrunali,mrunali@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Whatsapp,Whatsapp,,Students,2026,Eluru,8.9,4,0-2 Lakh,0-2 ,2,6,no
durga,durga@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Unknownvi Mumbai",Whatsapp,Whatsapp,,Students,2024,Guwahati,7.4,7,2-5 Lakh,02-May,5,6,no
ruchit,ruchit@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,Whatsapp,,Students,2023,Nagaon,7.3,4,0-2 Lakh,0-2 ,2,7,no
mayuresh,mayuresh@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHIUnknownGAR,Others,Others,College,Students,2024,Tezpur,8.6,4,0-2 Lakh,0-2 ,2,7,no
rohit,rohit@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,Whatsapp,,Students,2024,Sivasagar,9.2,3,0-2 Lakh,0-2 ,2,8,no
nutan,nutan@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Email,Email,,Students,2024,Burani,7.8,3,0-2 Lakh,0-2 ,2,10,yes
yogesh,yogesh@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Whatsapp,Whatsapp,,Students,2023,Dehri,7.9,5,0-2 Lakh,0-2 ,2,6,yes
pranali,pranali@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Unknowngpur ",Whatsapp,Whatsapp,,Students,2023,Chapra,9.9,4,0-2 Lakh,0-2 ,2,8,no 
gaurang,gaurang@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,LinkedIn,LinkedIn,,Students,2024,Darbhanga,8.1,5,0-2 Lakh,0-2 ,2,11,no 
saba,saba@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and MaUnknowngement ,Whatsapp,Whatsapp,,Students,2023,Gaya,9.5,7,0-2 Lakh,0-2 ,2,20,yes
apurva ,apurva@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Others,Others,,Students,2024,Haijipur,9.8,5,0-2 Lakh,0-2 ,2,5,yes
tanmay,tanmay@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Cloud Counselage Website,Cloud Counselage Website,,Students,2025,Kaithar,9.6,5,0-2 Lakh,0-2 ,2,9,no
sumit,sumit@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,Whatsapp,,Students,2025,Motihari,6.2,5,0-2 Lakh,0-2 ,2,5,no
shubham ,shubham@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Others,Others,College,Students,2024,Munger,9.1,7,0-2 Lakh,0-2 ,2,21,yes
shreyas,shreyas@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2026,Patna,7.2,5,0-2 Lakh,0-2 ,2,9,no
shivani,shivani@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Others,Others,College,Students,2023,Muzaffarpur,9.5,5,0-2 Lakh,0-2 ,2,13,no
swapnil,swapnil@xyz.com,1,Art of Resume Building,Attending,"THAKUR INSTITUTE OF MAUnknownGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Whatsapp,Whatsapp,,Students,2025,Sasaram,6.8,3,0-2 Lakh,0-2 ,2,15,no
manasi ,manasi@xyz.com,1,Art of Resume Building,Attending,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE UnknownVI MUMBAI,Instagram | Whatsapp | Email,Instagram ,,Students,2023,Siwan,8.4,7,0-2 Lakh,0-2 ,2,14,no
hemant ,hemant@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Whatsapp,Whatsapp,,Students,2025,Ambikapur,6.6,3,2-5 Lakh,02-May,5,5,yes
gaurav,gaurav@xyz.com,1,Art of Resume Building,Attending,CHHATTISGARH SWAMI VIVEKAUnknownNDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Whatsapp,Whatsapp,,Students,2024,Bhilai,6.7,7,2-5 Lakh,02-May,5,20,yes
harshal,harshal@xyz.com,1,Art of Resume Building,Attending,ADHIYAMAAN COLLEGE OF ENGINEERING,Whatsapp,Whatsapp,,Students,2025,Raipur,8.3,7,2-5 Lakh,02-May,5,14,no 
jitesh,jitesh@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Youtube,Youtube,,Students,2024,Daman,6.3,7,2-5 Lakh,02-May,5,16,yes
ashish,ashish@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Whatsapp,Whatsapp,,Students,2024,Silvassa,9.5,5,2-5 Lakh,02-May,5,8,no
prachi,prachi@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHIUnknownGAR,Whatsapp,Whatsapp,,Students,2025,Madgaon,7.9,7,0-2 Lakh,0-2 ,2,6,no
priya,priya@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Instagram | Whatsapp,Instagram ,,Students,2024,Ahemdabad,7.5,4,0-2 Lakh,0-2 ,2,8,no
ashwini ,ashwini@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Youtube | Whatsapp | Email,Youtube ,,Students,2023,Amreli,8.3,5,2-5 Lakh,02-May,5,21,no
chetan,chetan@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Whatsapp,Whatsapp,,Students,2024,Dwarka,6.4,3,5-7 Lakh,05-Jul,7,5,no
aakanksha ,aakanksha@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,Whatsapp,,Students,2025,Godhra,7.5,4,7 Lakh+,7,7,21,no
aishwarya,aishwarya@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,Whatsapp,,Students,2025,Junagadh,9.9,3,0-2 Lakh,0-2 ,2,9,yes
punam,punam@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Whatsapp,Whatsapp,,Students,2026,Kheda,7.6,4,0-2 Lakh,0-2 ,2,7,no 
kanika ,kanika@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Facebook,Facebook,,Students,2024,Morbi,7.9,7,0-2 Lakh,0-2 ,2,5,no 
laxmikant,laxmikant@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Whatsapp,Whatsapp,,Students,2025,Navsari,7.4,7,5-7 Lakh,05-Jul,7,19,yes
ritesh,ritesh@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Whatsapp,Whatsapp,,Students,2026,Rewari,6.5,4,2-5 Lakh,02-May,5,23,yes
harsh,harsh@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Unknowngpur ",Others,Others,Friends,Students,2023,Rohtak,7.3,3,5-7 Lakh,05-Jul,7,8,yes
sanika ,sanika@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Others,Others,College,Students,2023,Sirsa,6.7,5,7 Lakh+,7,7,9,no
shruti,shruti@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and MaUnknowngement ,Whatsapp,Whatsapp,,Students,2024,Sonipat,8.7,7,0-2 Lakh,0-2 ,2,7,no
sonali ,sonali@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Whatsapp,Whatsapp,,Students,2025,Chamba,6.7,3,0-2 Lakh,0-2 ,2,13,no
sushant ,sushant@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute of Technology, Pune",Whatsapp,Whatsapp,,Students,2025,Kangra,9,4,0-2 Lakh,0-2 ,2,19,yes
omkar,omkar@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",LinkedIn,LinkedIn,,Students,2024,Hamirpur,7.2,4,0-2 Lakh,0-2 ,2,25,no
krutika ,krutika@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,Whatsapp,,Students,2023,kullu,8.5,5,2-5 Lakh,02-May,5,22,no
sachin,sachin@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Whatsapp,Whatsapp,,Students,2026,Mandi,6.5,4,5-7 Lakh,05-Jul,7,6,no
varun,varun@xyz.com,1,Art of Resume Building,Attending,Unknown,Whatsapp | Others,Whatsapp ,College,Students,2023,Anantnag,8.1,7,0-2 Lakh,0-2 ,2,15,yes
anand,anand@xyz.com,1,Art of Resume Building,Attending,AP SHAH INSTITUTE OF TECHNOLOGY ,Youtube | Facebook | Instagram | LinkedIn | Whatsapp | Email,Youtube ,,Students,2023,Doda,9.3,4,0-2 Lakh,0-2 ,2,19,no 
